state,vtotal_state_sum,vrank,district1,vtotal_sum,total_sum,alter_rate,alter_dummy,replacement
Aguascalientes,7246665794,27,1,118982,103072,0.133333333,0,0
Aguascalientes,7246665794,27,2,58722,55271,0.214634146,0,0
Baja California,24325491208,17,1,78341,62966,0.175213675,0,1
Baja California,24325491208,17,2,45140,33001,0.095,0,0
Baja California,24325491208,17,3,79072,75940,0.132183908,0,1
Baja California,24325491208,17,4,104919,90270,0.372013652,0,0
Baja California,24325491208,17,5,55792,48971,0.151658768,0,0
Baja California,24325491208,17,6,64986,60596,0.367521368,0,0
Baja California Sur,7082796467,28,1,52226,47569,0.259414226,0,0
Baja California Sur,7082796467,28,2,30405,26641,0.093333333,0,0
Campeche,6791473219,29,1,40497,40780,0.492385787,0,0
Campeche,6791473219,29,2,74662,65742,0.267045455,0,0
Chiapas,23651806197,18,1,59170,53615,0.493670886,0,0
Chiapas,23651806197,18,2,65192,59801,0.194690265,0,0
Chiapas,23651806197,18,3,18855,15961,0.3,0,0
Chiapas,23651806197,18,4,74167,72287,0.620689655,1,0
Chiapas,23651806197,18,5,36451,39179,0.428571429,0,0
Chiapas,23651806197,18,6,105844,96123,0.339506173,0,0
Chiapas,23651806197,18,7,65502,49204,0.23566879,0,0
Chiapas,23651806197,18,8,36605,34951,0.737179487,1,1
Chiapas,23651806197,18,9,101236,103459,0.625,1,0
Chihuahua,32482542152,10,1,57288,46795,0.186046512,0,0
Chihuahua,32482542152,10,10,36425,34145,0.330049261,0,0
Chihuahua,32482542152,10,2,58329,56694,0.100840336,0,1
Chihuahua,32482542152,10,3,34665,32121,0.132743363,0,1
Chihuahua,32482542152,10,4,73266,70442,0.204225352,0,1
Chihuahua,32482542152,10,5,39384,33694,0.155893536,0,0
Chihuahua,32482542152,10,6,62150,62860,0.154185022,0,0
Chihuahua,32482542152,10,7,81308,75261,0.492227979,0,0
Chihuahua,32482542152,10,8,50412,43741,0.349056604,0,0
Chihuahua,32482542152,10,9,36110,32765,0.157608696,0,0
Coahuila,21230181698,20,1,42647,38794,0.474452555,0,0
Coahuila,21230181698,20,2,47520,41505,0.367647059,0,0
Coahuila,21230181698,20,3,30773,27082,0.203389831,0,0
Coahuila,21230181698,20,4,48287,45599,0.414473684,0,0
Coahuila,21230181698,20,5,31748,30008,0.46122449,0,0
Coahuila,21230181698,20,6,68684,65486,0.370558376,0,0
Coahuila,21230181698,20,7,47540,42238,0.284153005,0,0
Colima,5389480088,31,1,51212,50704,0.09352518,0,0
Colima,5389480088,31,2,42320,33293,0.23566879,0,0
Distrito Federal,1.35447E+11,1,1,53269,54071,0.089622642,0,1
Distrito Federal,1.35447E+11,1,10,106271,119100,0.008928571,0,0
Distrito Federal,1.35447E+11,1,11,49206,47913,0.075862069,0,0
Distrito Federal,1.35447E+11,1,12,49416,45241,0.045454545,0,0
Distrito Federal,1.35447E+11,1,13,45830,49512,0.0125,0,0
Distrito Federal,1.35447E+11,1,14,58719,60401,0.006535948,0,0
Distrito Federal,1.35447E+11,1,15,82668,80665,0.069518717,0,0
Distrito Federal,1.35447E+11,1,16,53841,49135,0.007874016,0,0
Distrito Federal,1.35447E+11,1,17,51002,55237,0,0,0
Distrito Federal,1.35447E+11,1,18,49727,51916,0.007692308,0,1
Distrito Federal,1.35447E+11,1,19,58926,56879,0,0,0
Distrito Federal,1.35447E+11,1,2,45794,45298,0.124137931,0,0
Distrito Federal,1.35447E+11,1,20,64164,67871,0.046153846,0,0
Distrito Federal,1.35447E+11,1,21,81889,79027,0.041860465,0,0
Distrito Federal,1.35447E+11,1,22,103379,106326,0.01826484,0,0
Distrito Federal,1.35447E+11,1,23,99122,93252,0.020100503,0,1
Distrito Federal,1.35447E+11,1,24,120781,126252,0.004032258,0,0
Distrito Federal,1.35447E+11,1,25,72701,81282,0.013761468,0,0
Distrito Federal,1.35447E+11,1,26,115418,113147,0.040650407,0,0
Distrito Federal,1.35447E+11,1,27,138689,144882,0.014388489,0,0
Distrito Federal,1.35447E+11,1,28,87713,76648,0.029661017,0,0
Distrito Federal,1.35447E+11,1,29,56752,57480,0.032786885,0,0
Distrito Federal,1.35447E+11,1,3,44225,46578,0.03030303,0,0
Distrito Federal,1.35447E+11,1,30,54748,52548,0.011111111,0,0
Distrito Federal,1.35447E+11,1,31,78643,80113,0.013888889,0,0
Distrito Federal,1.35447E+11,1,32,47307,50473,0.011494253,0,1
Distrito Federal,1.35447E+11,1,33,37948,38552,0.007462687,0,0
Distrito Federal,1.35447E+11,1,34,64944,69942,0.061611374,0,1
Distrito Federal,1.35447E+11,1,35,46171,48364,0.032258065,0,0
Distrito Federal,1.35447E+11,1,36,65982,64222,0.015228426,0,0
Distrito Federal,1.35447E+11,1,37,69852,71078,0.03902439,0,0
Distrito Federal,1.35447E+11,1,39,69454,72614,0.014925373,0,0
Distrito Federal,1.35447E+11,1,4,42326,41472,0.045454545,0,0
Distrito Federal,1.35447E+11,1,40,173120,164206,0.050898204,0,0
Distrito Federal,1.35447E+11,1,5,33356,35229,0.026737968,0,0
Distrito Federal,1.35447E+11,1,6,42429,44754,0.044776119,0,0
Distrito Federal,1.35447E+11,1,7,48271,46132,0.046979866,0,1
Distrito Federal,1.35447E+11,1,8,58551,56319,0.006849315,0,0
Distrito Federal,1.35447E+11,1,9,50665,49230,0.02739726,0,0
Distrito Federal,1.35447E+11,1,38,108182,108297,0.027131783,0,1
Durango,24507568238,15,1,65033,62484,0.204545455,0,0
Durango,24507568238,15,2,53518,48483,0.239795918,0,0
Durango,24507568238,15,3,53611,49741,0.62295082,1,0
Durango,24507568238,15,4,46670,30197,0.074380165,0,1
Durango,24507568238,15,5,47325,38108,0.262295082,0,1
Durango,24507568238,15,6,33601,33560,0.127753304,0,1
Estado de Mexico,76709052739,2,1,67169,68726,0.032967033,0,0
Estado de Mexico,76709052739,2,10,42434,49392,0,0,0
Estado de Mexico,76709052739,2,11,67080,68139,0.041666667,0,0
Estado de Mexico,76709052739,2,12,83435,75307,0.008333333,0,0
Estado de Mexico,76709052739,2,13,66882,66705,0.067307692,0,0
Estado de Mexico,76709052739,2,14,45218,43369,0.234042553,0,0
Estado de Mexico,76709052739,2,15,86977,84432,0.085106383,0,0
Estado de Mexico,76709052739,2,16,87146,95653,0.022556391,0,0
Estado de Mexico,76709052739,2,17,98235,79594,0.012295082,0,1
Estado de Mexico,76709052739,2,18,61510,60362,0.052631579,0,1
Estado de Mexico,76709052739,2,19,22935,19428,0.142857143,0,1
