V1,rural3,union1988,centeno,totalexperience,replacement,iddto,idedo,jornadaPRI,noOP,fraud
Aguascalientes_II_2014-05-26 00.07.38,1.312870979,0,0,1,0,2,1,0.50999999,0,0
Aguascalientes_II_2014-05-26 00.07.43,1.312870979,0,0,1,0,2,1,0.50999999,0,1
Aguascalientes_II_2014-05-26 00.07.48,1.312870979,0,0,1,0,2,1,0.50999999,1,0
Aguascalientes_II_2014-05-26 00.07.53,1.312870979,0,0,1,0,2,1,0.50999999,0,0
Aguascalientes_II_2014-05-26 00.07.57,1.312870979,0,0,1,0,2,1,0.50999999,0,0
Aguascalientes_II_2014-05-26 00.08.01,1.312870979,0,0,1,0,2,1,0.50999999,0,0
Aguascalientes_II_2014-05-26 00.08.06,1.312870979,0,0,1,0,2,1,0.50999999,1,1
Aguascalientes_II_2014-05-26 00.08.10,1.312870979,0,0,1,0,2,1,0.50999999,0,0
Aguascalientes_II_2014-05-26 00.08.15,1.312870979,0,0,1,0,2,1,0.50999999,0,0
Aguascalientes_II_2014-05-26 00.08.20,1.312870979,0,0,1,0,2,1,0.50999999,0,0
Aguascalientes_II_2014-05-26 00.08.26,1.312870979,0,0,1,0,2,1,0.50999999,1,0
Aguascalientes_II_2014-05-26 00.08.31,1.312870979,0,0,1,0,2,1,0.50999999,0,0
Aguascalientes_II_2014-05-26 00.08.35,1.312870979,0,0,1,0,2,1,0.50999999,0,1
Aguascalientes_II_2014-05-26 00.08.40,1.312870979,0,0,1,0,2,1,0.50999999,0,0
Aguascalientes_II_2014-05-26 00.08.44,1.312870979,0,0,1,0,2,1,0.50999999,0,0
Aguascalientes_II_2014-05-26 00.08.49,1.312870979,0,0,1,0,2,1,0.50999999,0,0
Aguascalientes_II_2014-05-26 00.08.52,1.312870979,0,0,1,0,2,1,0.50999999,0,1
Aguascalientes_II_2014-05-26 00.08.57,1.312870979,0,0,1,0,2,1,0.50999999,0,0
Aguascalientes_II_2014-05-26 00.09.02,1.312870979,0,0,1,0,2,1,0.50999999,0,0
Aguascalientes_II_2014-05-26 00.09.07,1.312870979,0,0,1,0,2,1,0.50999999,1,0
Aguascalientes_II_2014-05-26 00.09.13,1.312870979,0,0,1,0,2,1,0.50999999,1,0
Aguascalientes_II_2014-05-26 00.09.18,1.312870979,0,0,1,0,2,1,0.50999999,0,1
Aguascalientes_II_2014-05-26 00.09.27,1.312870979,0,0,1,0,2,1,0.50999999,0,1
