alpha_3,name,common_name,official_name,latitude,longitude,region,subregion
AFG,Afghanistan,,Islamic Republic of Afghanistan,33,65,Asia,Southern Asia
AGO,Angola,,Republic of Angola,-12.5,18.5,Africa,Middle Africa
ALB,Albania,,Republic of Albania,41,20,Europe,Southern Europe
ARE,United Arab Emirates,,,24,54,Asia,Western Asia
ARG,Argentina,,Argentine Republic,-34,-64,Americas,South America
ARM,Armenia,,Republic of Armenia,40,45,Asia,Western Asia
ATA,Antarctica,,,-74.65,4.48,Polar,
ATF,French Southern Territories,,,-49.25,69.167,Africa,Southern Africa
AUS,Australia,,,-27,133,Oceania,Australia and New Zealand
AUT,Austria,,Republic of Austria,47.33333333,13.33333333,Europe,Western Europe
AZE,Azerbaijan,,Republic of Azerbaijan,40.5,47.5,Asia,Western Asia
BDI,Burundi,,Republic of Burundi,-3.5,30,Africa,Eastern Africa
BEL,Belgium,,Kingdom of Belgium,50.83333333,4,Europe,Western Europe
BEN,Benin,,Republic of Benin,9.5,2.25,Africa,Western Africa
BFA,Burkina Faso,,,13,-2,Africa,Western Africa
BGD,Bangladesh,,People's Republic of Bangladesh,24,90,Asia,Southern Asia
BGR,Bulgaria,,Republic of Bulgaria,43,25,Europe,Eastern Europe
BHS,Bahamas,,Commonwealth of the Bahamas,24.25,-76,Americas,Caribbean
BIH,Bosnia and Herzegovina,,Republic of Bosnia and Herzegovina,44,18,Europe,Southern Europe
BLR,Belarus,,Republic of Belarus,53,28,Europe,Eastern Europe
BLZ,Belize,,,17.25,-88.75,Americas,Central America
BMU,Bermuda,,,32.33333333,-64.75,Americas,Northern America
BOL,"Bolivia, Plurinational State of",Bolivia,Plurinational State of Bolivia,-17,-65,Americas,South America
BRA,Brazil,,Federative Republic of Brazil,-10,-55,Americas,South America
BRN,Brunei Darussalam,,,4.5,114.6666667,Asia,South-Eastern Asia
BTN,Bhutan,,Kingdom of Bhutan,27.5,90.5,Asia,Southern Asia
BWA,Botswana,,Republic of Botswana,-22,24,Africa,Southern Africa
CAF,Central African Republic,,,7,21,Africa,Middle Africa
CAN,Canada,,,60,-95,Americas,Northern America
CHE,Switzerland,,Swiss Confederation,47,8,Europe,Western Europe
CHL,Chile,,Republic of Chile,-30,-71,Americas,South America
CHN,China,,People's Republic of China,35,105,Asia,Eastern Asia
CIV,Côte d'Ivoire,,Republic of Côte d'Ivoire,8,-5,Africa,Western Africa
CMR,Cameroon,,Republic of Cameroon,6,12,Africa,Middle Africa
COD,"Congo, The Democratic Republic of the",,,0,25,Africa,Middle Africa
COG,Congo,,Republic of the Congo,-1,15,Africa,Middle Africa
COL,Colombia,,Republic of Colombia,4,-72,Americas,South America
CRI,Costa Rica,,Republic of Costa Rica,10,-84,Americas,Central America
CUB,Cuba,,Republic of Cuba,21.5,-80,Americas,Caribbean
CYP,Cyprus,,Republic of Cyprus,35,33,Europe,Southern Europe
CZE,Czechia,,Czech Republic,49.75,15.5,Europe,Eastern Europe
DEU,Germany,,Federal Republic of Germany,51,9,Europe,Western Europe
DJI,Djibouti,,Republic of Djibouti,11.5,43,Africa,Eastern Africa
DNK,Denmark,,Kingdom of Denmark,56,10,Europe,Northern Europe
DOM,Dominican Republic,,,19,-70.66666666,Americas,Caribbean
CMR,Cameroon,,Republic of Cameroon,28,3,Africa,Northern Africa
DZA,Algeria,,People's Democratic Republic of Algeria,28,3,Africa,Northern Africa
ECU,Ecuador,,Republic of Ecuador,-2,-77.5,Americas,South America
EGY,Egypt,,Arab Republic of Egypt,27,30,Africa,Northern Africa
ERI,Eritrea,,the State of Eritrea,15,39,Africa,Eastern Africa
ESP,Spain,,Kingdom of Spain,40,-4,Europe,Southern Europe
EST,Estonia,,Republic of Estonia,59,26,Europe,Northern Europe
ETH,Ethiopia,,Federal Democratic Republic of Ethiopia,8,38,Africa,Eastern Africa
FIN,Finland,,Republic of Finland,64,26,Europe,Northern Europe
FJI,Fiji,,Republic of Fiji,-18,175,Oceania,Melanesia
FLK,Falkland Islands (Malvinas),,,-51.75,-59,Americas,South America
FRA,France,,French Republic,46,2,Europe,Western Europe
GAB,Gabon,,Gabonese Republic,-1,11.75,Africa,Middle Africa
GBR,United Kingdom,,United Kingdom of Great Britain and Northern Ireland,54,-2,Europe,Northern Europe
GUF,French Guiana,,,42,43.5,Asia,Western Asia
GHA,Ghana,,Republic of Ghana,8,-2,Africa,Western Africa
GIN,Guinea,,Republic of Guinea,11,-10,Africa,Western Africa
GMB,Gambia,,Republic of the Gambia,13.46666666,-16.56666666,Africa,Western Africa
GNB,Guinea-Bissau,,Republic of Guinea-Bissau,12,-15,Africa,Western Africa
GRC,Greece,,Hellenic Republic,39,22,Europe,Southern Europe
GRL,Greenland,,,72,-40,Americas,Northern America
GTM,Guatemala,,Republic of Guatemala,15.5,-90.25,Americas,Central America
GUF,French Guiana,,,4,-53,Americas,South America
GUY,Guyana,,Republic of Guyana,5,-59,Americas,South America
HND,Honduras,,Republic of Honduras,15,-86.5,Americas,Central America
HRV,Croatia,,Republic of Croatia,45.16666666,15.5,Europe,Southern Europe
HTI,Haiti,,Republic of Haiti,19,-72.41666666,Americas,Caribbean
HUN,Hungary,,Hungary,47,20,Europe,Eastern Europe
IDN,Indonesia,,Republic of Indonesia,-5,120,Asia,South-Eastern Asia
IND,India,,Republic of India,20,77,Asia,Southern Asia
IRL,Ireland,,,53,-8,Europe,Northern Europe
IRN,"Iran, Islamic Republic of",,Islamic Republic of Iran,32,53,Asia,Southern Asia
IRQ,Iraq,,Republic of Iraq,33,44,Asia,Western Asia
ISL,Iceland,,Republic of Iceland,65,-18,Europe,Northern Europe
ISR,Israel,,State of Israel,31.5,34.75,Asia,Western Asia
ITA,Italy,,Italian Republic,42.83333333,12.83333333,Europe,Southern Europe
JAM,Jamaica,,,18.25,-77.5,Americas,Caribbean
JOR,Jordan,,Hashemite Kingdom of Jordan,31,36,Asia,Western Asia
JPN,Japan,,,36,138,Asia,Eastern Asia
KAZ,Kazakhstan,,Republic of Kazakhstan,48,68,Asia,Central Asia
KEN,Kenya,,Republic of Kenya,1,38,Africa,Eastern Africa
KGZ,Kyrgyzstan,,Kyrgyz Republic,41,75,Asia,Central Asia
KHM,Cambodia,,Kingdom of Cambodia,13,105,Asia,South-Eastern Asia
KOR,"Korea, Republic of",South Korea,,37,127.5,Asia,Eastern Asia
KWT,Kuwait,,State of Kuwait,29.5,45.75,Asia,Western Asia
LAO,Lao People's Democratic Republic,,,18,105,Asia,South-Eastern Asia
LBN,Lebanon,,Lebanese Republic,33.83333333,35.83333333,Asia,Western Asia
LBR,Liberia,,Republic of Liberia,6.5,-9.5,Africa,Western Africa
LBY,Libya,,Libya,25,17,Africa,Northern Africa
LKA,Sri Lanka,,Democratic Socialist Republic of Sri Lanka,7,81,Asia,Southern Asia
LSO,Lesotho,,Kingdom of Lesotho,-29.5,28.5,Africa,Southern Africa
LTU,Lithuania,,Republic of Lithuania,56,24,Europe,Northern Europe
LUX,Luxembourg,,Grand Duchy of Luxembourg,49.75,6.16666666,Europe,Western Europe
LVA,Latvia,,Republic of Latvia,57,25,Europe,Northern Europe
MAR,Morocco,,Kingdom of Morocco,32,-5,Africa,Northern Africa
MDA,"Moldova, Republic of",Moldova,Republic of Moldova,47,29,Europe,Eastern Europe
MDG,Madagascar,,Republic of Madagascar,-20,47,Africa,Eastern Africa
MEX,Mexico,,United Mexican States,23,-102,Americas,Central America
MKD,North Macedonia,,Republic of North Macedonia,41.83333333,22,Europe,Southern Europe
MLI,Mali,,Republic of Mali,17,-4,Africa,Western Africa
MLT,Malta,,Republic of Malta,35.83333333,14.58333333,Europe,Southern Europe
MMR,Myanmar,,Republic of Myanmar,22,98,Asia,South-Eastern Asia
MNG,Mongolia,,,46,105,Asia,Eastern Asia
MOZ,Mozambique,,Republic of Mozambique,-18.25,35,Africa,Eastern Africa
MRT,Mauritania,,Islamic Republic of Mauritania,20,-12,Africa,Western Africa
MWI,Malawi,,Republic of Malawi,-13.5,34,Africa,Eastern Africa
MYS,Malaysia,,,2.5,112.5,Asia,South-Eastern Asia
NAM,Namibia,,Republic of Namibia,-22,17,Africa,Southern Africa
NCL,New Caledonia,,,-21.5,165.5,Oceania,Melanesia
NER,Niger,,Republic of the Niger,16,8,Africa,Western Africa
NGA,Nigeria,,Federal Republic of Nigeria,10,8,Africa,Western Africa
NIC,Nicaragua,,Republic of Nicaragua,13,-85,Americas,Central America
NLD,Netherlands,,Kingdom of the Netherlands,52.5,5.75,Europe,Western Europe
NOR,Norway,,Kingdom of Norway,62,10,Europe,Northern Europe
NPL,Nepal,,Federal Democratic Republic of Nepal,28,84,Asia,Southern Asia
NZL,New Zealand,,,-41,174,Oceania,Australia and New Zealand
OMN,Oman,,Sultanate of Oman,21,57,Asia,Western Asia
PAK,Pakistan,,Islamic Republic of Pakistan,30,70,Asia,Southern Asia
PAN,Panama,,Republic of Panama,9,-80,Americas,Central America
PER,Peru,,Republic of Peru,-10,-76,Americas,South America
PHL,Philippines,,Republic of the Philippines,13,122,Asia,South-Eastern Asia
PNG,Papua New Guinea,,Independent State of Papua New Guinea,-6,147,Oceania,Melanesia
POL,Poland,,Republic of Poland,52,20,Europe,Eastern Europe
PRI,Puerto Rico,,,18.25,-66.5,Americas,Caribbean
PRK,"Korea, Democratic People's Republic of",North Korea,Democratic People's Republic of Korea,40,127,Asia,Eastern Asia
PRT,Portugal,,Portuguese Republic,39.5,-8,Europe,Southern Europe
PRY,Paraguay,,Republic of Paraguay,-23,-58,Americas,South America
QAT,Qatar,,State of Qatar,25.5,51.25,Asia,Western Asia
ROU,Romania,,,46,25,Europe,Eastern Europe
RUS,Russian Federation,,,60,100,Europe,Eastern Europe
RWA,Rwanda,,Rwandese Republic,-2,30,Africa,Eastern Africa
SAU,Saudi Arabia,,Kingdom of Saudi Arabia,25,45,Asia,Western Asia
SDN,Sudan,,Republic of the Sudan,15,30,Africa,Northern Africa
SEN,Senegal,,Republic of Senegal,14,-14,Africa,Western Africa
SLB,Solomon Islands,,,-8,159,Oceania,Melanesia
SLE,Sierra Leone,,Republic of Sierra Leone,8.5,-11.5,Africa,Western Africa
